PERMNO,date,TICKER,PRIMEXCH,HSICCD,PRC,VOL,RET,SHROUT,CFACPR,CFACSHR
90319,20151231,GOOGL,Q,7375,778.01001,437061,0.019873,292581,1,1
90319,20160129,GOOGL,Q,7375,761.34998,520818,-0.021414,292581,1,1
90319,20160229,GOOGL,Q,7375,717.21997,676575,-0.057963,292586,1,1
90319,20160331,GOOGL,Q,7375,762.90002,426873,0.06369,293573,1,1
90319,20160429,GOOGL,Q,7375,707.88,467039,-0.07212,293675,1,1
90319,20160531,GOOGL,Q,7375,748.84998,341084,0.057877,293675,1,1
90319,20160630,GOOGL,Q,7375,703.53003,420045,-0.060519,294686,1,1
90319,20160729,GOOGL,Q,7375,791.34003,326676,0.124813,294844,1,1
90319,20160831,GOOGL,Q,7375,789.84998,288571,-0.001883,294844,1,1
90319,20160930,GOOGL,Q,7375,804.06,315825,0.017991,295995,1,1
90319,20161031,GOOGL,Q,7375,809.90002,353948,0.007263,296087,1,1
90319,20161130,GOOGL,Q,7375,775.88,483544,-0.042005,296087,1,1
90319,20161230,GOOGL,Q,7375,792.45001,343572,0.021356,296992,1,1
90319,20170131,GOOGL,Q,7375,820.19,368415,0.035005,297118,1,1
90319,20170228,GOOGL,Q,7375,844.92999,264928,0.030164,297118,1,1
90319,20170331,GOOGL,Q,7375,847.79999,345537,0.003397,297600,1,1
90319,20170428,GOOGL,Q,7375,924.52002,287282,0.090493,297629,1,1
90319,20170531,GOOGL,Q,7375,987.09003,353735,0.067678,297629,1,1
90319,20170630,GOOGL,Q,7375,929.67999,441852,-0.058161,298043,1,1
90319,20170731,GOOGL,Q,7375,945.5,419271,0.017017,298045,1,1
